Certificate,Name,Year,Rating,RatingReason,Studio
24706,"Incredible Sarah, The",1976,PG,,Readers Digest
24707,"Sentinel, The",1976,R,,"Universal City Studios, Inc."
24708,Slap Shot,1976,R,,"Universal City Studios, Inc."
24709,Pony Express Rider,1976,G,,Doty-Dayton Productions
24711,"Muthers, The",1976,R,,Twenty First Century Dist.
24712,Scalpel,1978,PG,,Avco Embassy Pictures
24713,Face To Face,1976,R,,Peppercorn-Wormser
24714,Bittersweet Love,1976,PG,,Avco Embassy Pictures
24715,Stark Raving Mad,1976,R,,Mobilcolor Productions
24716,"Enforcer, The",1976,R,,Warner Bros. Inc.
24717,"House By The Lake, The",1976,R,,American International Pictures
24719,Story Of Sin,1976,R,,Tinc Productions
24720,"Next Man, The",1976,R,,Allied Artists
24722,Joe Panther,1976,G,,Artists Creation
24723,Pipe Dreams,1976,PG,,Avco Embassy Pictures
24724,Looking For Mr. Goodbar,1977,R,,Paramount Pictures Corp.
24725,"Slipper And The Rose, The",1976,G,,"Universal City Studios, Inc."
24726,Lucky,1978,PG,,Rosamond Productions
24727,Serail,1976,R,,Caribou Films
24728,"Cassandra Crossing, The",1976,R,,Avco Embassy Pictures
24729,"Exit The Dragon, Enter The Tiger",1976,R,,Dimension Pictures
24730,"Star Is Born, A",1976,R,,Warner Bros. Inc.
24731,Monkey Hustle,1976,PG,,American International Pictures
24732,"Committee, The",1976,PG,,Ellman Enterprises
24733,Kill And Go Hide,1976,R,,Valiant International Pictures
24735,Mountain Man,1976,G,,"Jensen Farley Pictures, Inc."
24736,Jabberwalk USA,1976,R,,ITM Releasing Corp.
24737,All This And World War II,1976,PG,,Twentieth Century Fox Film Corp.
24738,Freaky Friday,1976,G,,Walt Disney Productions/Buena Vista Dist. Co.
24739,"Passover Plot, The",1976,PG,,Atlas Films
24740,"Town That Dreaded Sundown, The",1976,R,,American International Pictures
24741,Cars That Eat People,1976,PG,,New Line Cinema
24742,Scott Joplin,1976,PG,,"Universal City Studios, Inc."
24743,Mr. Billion,1976,PG,,Twentieth Century Fox Film Corp.
24744,Flush It!,1976,R,,"Honey Company , The - [Production Co.]"
24745,Nasty Habits,1976,PG,,Brut Productions
24746,Voyage Of The Damned,1976,PG,,Avco Embassy Pictures
24747,Cross Of Iron,1977,R,,Avco Embassy Pictures
24748,"Three Fantastic Supermen, The",1976,PG,,Twenty First Century Dist.
24749,Casey's Shadow,1977,PG,,Columbia Pictures Industries
24751,Blood Stalker,1976,R,,Century Cinema
24752,Death Game,1976,R,,Levitt-Pickman Film
24753,"Rescuers, The",1977,G,,Buena Vista Dist. Co. & Walt Disney Productions
24755,Snap Shot,1976,R,,First American Films
24756,Fraternity Row,1976,PG,,Paramount Pictures Corp.
24758,Charge Of The Model T's,1976,G,,Rymac Distribution
24759,It's Only A Game,1977,G,,"Universal City Studios, Inc."
24760,"Car, The",1977,PG,,"Universal City Studios, Inc."
24761,Killer's Delight,1976,R,,Intercontinental Releasing
24762,Poco,1977,G,,Delta Film Productions  - [Production Co.]
24764,Crash,1976,PG,,"BLC Services, Inc./Group I"
24765,Joshua,1977,PG,,Po'Boy Productions Inc.
24766,"Duellists, The",1977,PG,,Paramount Pictures Corp.
24768,"Lion Who Thought He Was People, The",1976,G,,Scotia American Productions
24769,Let The Balloon Go,1976,G,,American First Run Studios
24770,Things To Come,1976,R,,Magus Film Group
24771,"Late Show, The",1976,PG,,Warner Bros. Inc.
24772,Twilight's Last Gleaming,1977,R,,Allied Artists
24773,Island Of The Living Dead,1976,PG,,Films International
24774,"White Buffalo, The",1977,PG,,United Artists
24775,Magic Rolling Board,1976,G,,United Artists Corp.
24776,"Curse Of Kilimanjaro, The",1976,PG,,C.F.F. Films
24777,Dunderklumpen,1976,G,,Selective Cinema
24778,Fred Bear: The Restless Spirit,1976,PG,,C.F.F. Inc.
24779,"Love Keys, The",1976,PG,,Intercontinental Releasing
24780,"Brothers, The",1976,R,,Warner Bros. Inc.
24781,Naturally Free,1976,PG,,Ken Anderson Releasing
24782,Fire Sale,1977,PG,,Twentieth Century Fox Film Corp.
24783,Journey Into The Beyond,1976,R,,Burbank International Pictures
24784,Life And Legend Of Buffalo Jones,1976,PG,,Starfire Films
24785,Seconds To Live,1976,PG,,Warner Bros. Inc.
24786,Acapulco Gold,1977,PG,,R.C. Riddell & Associates
24787,"Great Smokey Roadblock, The",1978,PG,,Dimension Pictures
24788,Southern Double Cross,1976,G,,"George H. Co., Inc."
24789,Pumping Iron,1976,PG,,Cinema 5 Ltd.
24790,Burlesque Is Back,1976,PG,,United Artists Corp.
24791,Indian,1976,G,,"Selective Cinema, Inc."
24792,"Way Of The Wind, The",1976,G,,BFV Best Film & Video Corp.
24793,Raggedy Ann And Andy,1977,G,,Twentieth Century Fox Film Corp.
24794,Audrey Rose,1977,PG,,United Artists
24795,Kings Of The Hill,1976,PG,,Lone Star Pictures
24796,Fellini's Casanova,1976,R,,"Universal City Studios, Inc."
24797,Emma Mae,1976,R,,Key Pictures
24798,"Holes, The",1976,PG,,Burbank International Pictures
24799,"Montana Safari, The",1976,G,,United Artists Corp.
24800,Strange Things Happen At Night,1976,R,,Clark Film Releasing
24801,Black Samurai,1977,R,,Trans Naional Film Corp.
24802,"Day That Shook The World, The",1977,R,,American International Pictures
24803,Airport '77,1977,PG,,"Universal City Studios, Inc."
24804,F For Fake,1977,PG,,Specialty Films
24805,Rollercoaster,1977,PG,,"Universal City Studios, Inc."
24806,Annie Hall,1977,PG,,United Artists
24807,Cracking Up,1977,R,,American International Pictures
24808,Sudden Death,1977,R,,Topar Films
24809,"Tale Of Two Critters, A",1977,G,,Buena Vista Dist. Co. & Walt Disney Productions
24810,"Harlan County, U.S.A.",1977,PG,,"Cinema 5, Ltd."
24811,Providence,1977,R,,Cinema 5 Ltd.
24812,My Boys Are Good Boys,1977,PG,,"Media Arts, Inc.  - [Production Co.]"
24813,Herowork,1977,PG,,Associated Film Co.
24814,Satan's Cheerleaders,1977,R,,Twenty First Century Dist.
24815,"Amsterdam Kill, The",1977,R,,Columbia Pictures Industries
24817,"Another Man, Another Chance",1977,PG,,United Artists
24818,Smokey And The Bandit,1977,PG,,"Universal City Studios, Inc."
24819,Chino,1977,PG,,Intercontinental Releasing
24820,Across The Great Divide,1977,G,,"Pacific International Enterprises, Inc."
24821,Lupo Goes To New York,1977,G,,Menora Film Distribution
24822,"Spy Who Loved Me, The",1977,PG,,United Artists
24823,That's Action,1977,PG,,Epic Productions
24824,Valentino,1977,R,,United Artists
24825,Mad Doctor,1977,G,,Vic Mcgee
24826,Final Chapter - Walking Tall,1977,R,,American International Pictures
24827,Land Of The Minotaur,1977,PG,,"Crown International Pictures, Inc."
24828,Empire Of The Ants,1977,PG,,American International Pictures
24829,People That Time Forgot,1977,PG,,American International Pictures
24830,Father Kino Story - Mission To Glory,1977,PG,,"Key International Film Distributors, Inc."
24831,Last Laugh,1977,PG,,Warner Bros. Inc.
24832,Looking Up,1977,PG,,Levitt-Pickman Film
24833,Ruby,1977,R,,Dimension Pictures
24834,Sidewinder One,1977,PG,,Avco Embassy Pictures
24835,Black Oak Conspiracy,1977,R,,New World Pictures
24836,"Deep, The",1977,PG,,Columbia Pictures Industries
24837,Super Van,1977,PG,,Empire Releasing
24838,Telefon,1977,PG,,MGM Film Company
24839,"Goodbye Girl, The",1977,PG,,Warner Bros. Inc.
24840,Herbie Goes To Monte Carlo,1977,G,,"Buena Vista Pictures Distribution, Inc. & Walt Disney Productions"
24841,Crazy Movie,1977,R,,Surrogate Releasing
24842,"Superbug, The Wild One",1977,G,,Central Park Film Distribution
24843,Tomcats,1977,R,,Twenty First Century Dist.
24844,Sorcerer,1977,PG,,"Paramount Pictures Corp./ Universal City Studios, Inc."
24845,First Love,1977,R,,Paramount Pictures Corp.
24846,Crazy House,1977,PG,,Constellation Films
24847,Lost On Paradise Island,1977,G,,Cine Ventures
24848,Uncle Tom's Cabin,1977,R,,Independent-International
24849,"First Run Feature, A",1977,PG,,Thomas Dyke Films  - [Production Co.]
24850,Thunder & Lightning,1977,PG,,New World Pictures
24851,"Greatest, The",1977,PG,,Columbia Pictures Industries
24852,Slaughterday,1977,R,,Cine-International - [Production Co.]
24853,Meat Cleaver Massacre,1977,R,,Group One
24854,3 Women,1977,PG,,Twentieth Century Fox Film
24855,Disco 9000,1977,PG,,
24856,"Little Girl Who Lives Down The Lane, The",1977,PG,,American International Pictures
24857,Breaker! Breaker!,1977,PG,,American International Pictures
24858,Julia,1977,PG,,Twentieth Century-Fox Film Corp.
24859,"Absent-Minded Waiter, The",1977,G,,Paramount Pictures Corp.
24860,"Bad News Bears In Breaking Training, The",1977,PG,,Paramount Pictures Corp.
24861,"Great Balloon Race, The",1977,PG,,Great Balloon Race Inc.
24862,Catastrophe!,1977,PG,,New World Pictures
24863,"Crater Lake Monster, The",1977,PG,,"Crown International Pictures, Inc."
24864,"Ready, Willing And Able",1977,R,,Martin Films
